title,author
Compilation des contraintes booléennes n-aires pour le traitement des CSP dynamiques.,Ahmed M. Mohamed
Knightian decision theory and econometric inferences.,Bita Alipasandi
When RSSI encounters deep learning: An area localization scheme for pervasive sensing systems.,Erik Meineche Schmidt
Hitori Numbers.,Chih-Yuan Yao
FAC: A Functional APL Language.,Lianjun Xiao
Heavy-tails in Kalman filtering with packet losses.,K. R. Ramakrishnan
Model predictive sliding mode control of six-phase induction motor using nine-switch converter.,Adriano Meta
Towards context aware tracking: a flatness based automotive oriented scheme with elastic execution time and sheaf determination.,Arturo Molina 0001
Prometheus or Pandora: The Influence of Automation on Society.,Huijun Wu
GCLR: GNN-Based Cross Layer Optimization for Multipath TCP by Routing.,Daniela Guaiana
Development of artificial neural network for condition assessment of bridges based on hybrid decision making method - Feasibility study.,Karl-Heinz Best
Forgery localization in images based on joint statistics of image blocks with neighbouring blocks.,Dan Suciu
A biochemical multi-species quality model of a drinking water distribution system for simulation and design.,Lianjun Xiao
Compressed Decision Problems for Graph Products and Applications to (outer) Automorphism Groups.,Danni Zhu
On the Divergence and the Joshi Dependence Measure in Feature Selection.,Jiang Ma
Early Flame Detection in Video Sequences based on D-S Evidence Theory.,Babak Farzad
The role of low-frequency oscillations in three-dimensional perception with depth cues in virtual reality.,Jiang Ma
Defense Strategy Against Load Redistribution Attacks on Power Systems Considering Insider Threats.,Akira Suzuki
Demand-oblivious routing with planned link pruning.,K. R. Ramakrishnan
Environmental social governance management: a theoretical perspective for the role of disclosure in the supply chain.,Constant Solimando
Robotic sound-source localisation architecture using cross-correlation and recurrent neural networks.,André Raspaud
"MOLAR: A Cost-Efficient, High-Performance SSD-Based Hybrid Storage Cache.",Dan Suciu
A nonlinear state estimation framework for humanoid robots.,K. R. Ramakrishnan
Trade-offs between drug toxicity and benefit in the multi-antibiotic resistance system underlie optimal growth of E. coli.,Arvind Ramanathan
Wideband Interferometry in Synthetic Aperture Sonar.,Diogo Poças
Substitutive Systems and a Finitary Version of Cobham's Theorem.,Chi-Sang Jung
Service-Oriented Atmospheric Radiances (SOAR): Gridding and Analysis Services for Multisensor Aqua IR Radiance Data for Climate Studies.,Fabio Nobile
A statistical feature data mining framework for constructing scholars' career trajectories in academic data.,Le Deng
Comment on the Public Key Substitution Attacks.,Huijun Wu
Optimization driven multi-hop network design and experimentation: the approach of the FP7 project OPNEX.,Erik Meineche Schmidt
Fundamentals of Implementing Real-Time Control Applications in Distributed Computer Systems.,Hady Pranoto
Exponential stability and solution bounds for systems with bounded nonlinearities.,M. I. Cohen
Dual-Input Transformer: An End-to-End Model for Preoperative Assessment of Pathological Complete Response to Neoadjuvant Chemotherapy in Breast Cancer Ultrasonography.,Amaro de Sousa
A new rough cloud AHP method for risk evaluation of public-private partnership projects.,Naohisa Komatsu
Adaptive Sliding Mode Based Stabilization Control for the Class of Underactuated Mechanical Systems.,André Raspaud
CAHR: A Contextually Adaptive Home-Based Rehabilitation Framework.,Aku Riihelä
Optimal control of the behavior of solutions of an initial boundary value problem simulating rotation of a solid with an elastic rod.,Adel El-Faraskoury
Parallelizing a finite element solver in computational hemodynamics.,Daniel Troy
DA-DRLS: Drift adaptive deep reinforcement learning based scheduling for IoT resource management.,Jiaqi Zhang 0001
Lattice pseudoeffect algebras as double residuated structures.,Gabriel M. Silberman
A tandem queueing model with coupled processors.,Keecheon Kim
Geoinformatics education in China.,Alper Korkmaz
Review Paper: Roundtable on Bioterrorism Detection: Information System-based Surveillance.,Anton Schiela
An efficient and scalable approach for mining subgraphs in a single large graph.,Arthur J. Davidson
The Changing Library Environment.,Daniel Cullina
Design Optimization of Redundantly Actuated Cable-Driven Parallel Robots for Automated Warehouse System.,Hen-Wai Tsao
Spinal alignment measurement in standing position using stereo-view roentgenography without positional calibration.,Constant Solimando
A survey of techniques for architecting SLC/MLC/TLC hybrid Flash memory-based SSDs.,Huijun Wu
IO and OI. II.,Aku Riihelä
A clarification of confirmatory composite analysis (CCA).,Le Deng
Computationally efficient optimization models for preliminary distillation column design and separation energy targeting.,David Perry
Construction of Large Sets of Pairwise Disjoint Transitive Triple Systems.,Babak Farzad
"Words, Videos, and Popes.",Adel El-Faraskoury
Solving Some Affine Equations over Finite Fields.,Dok Nam Lee
Editorial: State of the Journal.,Daniel Troy
Research on Cluster Economy Operation Model Considering Customer Satisfaction.,Hen-Wai Tsao
"Predictive big data analytics for supply chain demand forecasting: methods, applications, and research opportunities.",Erik Meineche Schmidt
Homogeneous Spiking Neural P Systems.,Arun Mittal
Spectral Variability Augmented Two-Stream Network for Hyperspectral Sparse Unmixing.,Renbiao Wu
"Erratum to ""Finite-Time Asynchronous Stabilization for Nonlinear Hidden Markov Jump Systems with Parameter Varying in Continuous-Time Case"".",Hai-Wei Sun
Combining multi-target regression deep neural networks and kinetic modeling to predict relative fluxes in reaction systems.,Chih-Yuan Yao
Generalized Sphere-Packing Bounds on the Size of Codes for Combinatorial Channels.,Huiqin Xie
TOPS Imaging With TerraSAR-X: Mode Design and Performance Analysis.,John T. Fredricksen
Building a Technology Recommender System Using Web Crawling and Natural Language Processing Technology.,Anton Schiela
Q-Learning Based Physical-Layer Secure Game Against Multiagent Attacks.,Theodosios Pavlidis
GMM-Based KLT-Domain Switched-Split Vector Quantization for LSF Coding.,Daniel Troy
Factors affecting primary health care centers' economic and production efficiency.,M. I. Cohen
TEANS: A Target Enhancement and Attenuated Nonmaximum Suppression Object Detector for Remote Sensing Images.,M. I. Cohen
A Generative Framework for Image-based Editing of Material Appearance using Perceptual Attributes.,Naohisa Komatsu
Modification and Validation of the DREIDING Force Field for Molecular Liquid Simulations (DREIDING-UT).,David Dagan Feng
Tensor-Based AAM with Continuous Variation Estimation: Application to Variation-Robust Face Recognition.,Fabio Nobile
ISAR Imaging of Rotating Target with Equal Changing Acceleration Based on the Cubic Phase Function.,Aida Pliuskeviciene
Construction of regular languages and recognizability of polynomials.,Alper Korkmaz
Preface.,Hen-Wai Tsao
Mobile spoken dialogue system using parser dependencies and ontology.,Anita Schöbel
All-Optical Cochlear Implants.,Alper Korkmaz
Hyper-Atoms Applied to the Critical Pair Theory.,Theodosios Pavlidis
A Novelty Approach to Retina Diagnosing Using Biometric Techniques With SVM and Clustering Algorithms.,Karl-Heinz Best
Structuring and modules for knowledge bases: motivation for a new model.,Anna Maria Paganoni
A Macroscopic Traffic Data-Assimilation Framework Based on the Fourier-Galerkin Method and Minimax Estimation.,Hermano Frid
Positive sum Operations on Ordinals and Normal Filters on Greatly Mahlo Cardinals.,Renbiao Wu
Beyond the Impact Factor: measuring the international visibility of Romanian social sciences journals.,Jiaqi Zhang 0001
A High Precision Direction-Finding Method Based on Multi-Baseline for Target Rescue.,David T. Wong
Test Power Reduction Using Integrated Scan Cell and Test Vector Reordering Techniques on Linear Scan and Double Tree Scan Architectures.,Renbiao Wu
Dominating sets in triangulations on surfaces.,Andrew J. Hinchley
An integrated risk measurement and optimization model for trustworthy software process management.,Ming Zhang
Personal informatics systems for supporting self-regulation in online learning environments.,Chaojiang Wu
Formal Lagrangian Operad.,Lianjun Xiao
A new algorithm to estimate monotone nonparametric link functions and a comparison with parametric approach.,Adel El-Faraskoury
On Kalman filtering over fading wireless channels with controlled transmission powers.,Andrew J. Hinchley
Capacity- and Bayesian-Based Cognitive Sensing with Location Side Information.,Di Li 0003
On the Black-Box Complexity of Sperner's Lemma.,Theodore Hailperin
A hybrid genetic-particle swarm algorithm based on multilevel neighbourhood structure for flexible job shop scheduling problem.,Hady Pranoto
Sparse and Dense Linear Algebra for Machine Learning on Parallel-RDBMS Using SQL.,Amaro de Sousa
An evaluation of alert services: quantity versus quality.,John T. Fredricksen
Clustering bivariate mixed-type data via the cluster-weighted model.,Chaojiang Wu
Book Review of Silicon Second Nature: Culturing Artifical Life in a Digital World by Stefan Helmreich.,Amir Bozorgzadeh
Black-box attacks against log anomaly detection with adversarial examples.,Arun Mittal
Algebraic and combinatorial results for ranking competitors in a sequence of races.,Chia-Lung Yeh
A new hierarchical architecture for Air Traffic Management: Optimisation of airway capacity in a Free Flight scenario.,Jiang Ma
A central limit theorem for normalized products of random matrices.,Le Deng
On evolutionary computing in multi-ship trajectory planning.,Roy Edgar Hansen
"Gateways, architectures, and heffalumps.",Amir Bozorgzadeh
Admission control with physical rate measurement for IEEE 802.11e controlled channel access.,Huiqin Xie
Numerical simulation of stochastic gene circuits.,Karl-Heinz Best
The significance of microprogramming.,Qiqi Wang
An Accelerated Finite-Time Convergent Neural Network for Visual Servoing of a Flexible Surgical Endoscope With Physical and RCM Constraints.,Theodosios Pavlidis
Internetalization of End-Users.,David T. Wong
A new data hiding approach for image steganography based on visual color sensitivity.,Fabian Rothmaier
(3+1)-dimensional dissipative relativistic fluid dynamics at non-zero net baryon density.,Theodore Hailperin
Using graph partitioning to discover regions of correlated spatio-temporal change in evolving graphs.,E. Lerzan Örmeci
Aerial Robotics and the Quadrotor [From the Guest Editors].,Anna Maria Paganoni
D-MG tradeoff and optimal codes for a class of AF and DF cooperative communication protocols.,Anna Maria Paganoni
Comparing Data Mining Models in Academic Analytics.,Fabian Rothmaier
New Method for the Estimation of Domains of Attraction of Fixed Points from Lyapunov Functions.,Jan Camenisch
Optimal Pilot Symbol Power Allocation under Time-variant Channels.,Arthur J. Davidson
Pair-v-SVR: A Novel and Efficient Pairing nu-Support Vector Regression Algorithm.,David T. Wong
Microfluidic Cultivation and Laser Tweezers Raman Spectroscopy of ,Wirt Atmar
Finite-Time Control for Connected Vehicles Under Denial-of-Service Attacks: A Dynamic Event-Triggered Control Strategy.,Kwok-Kai Soo
Real options analysis of investment in carbon capture and sequestration technology.,Babak Farzad
NFS version 4 Protocol.,Duyan Bi
Gaussian beam launching for 3D physical modeling of propagation channels.,Chi-Sang Jung
Improved hash and transmission method for larger packets in the RADIUS protocol.,Amir Shmuel
A New Method to Obtain Termination in Backward Proof Search for Modal Logic ,Adriano Meta
"Decoupled, Linear, and Energy Stable Finite Element Method for the Cahn-Hilliard-Navier-Stokes-Darcy Phase Field Model.",Chaojiang Wu
PDF/A: A Viable Addition to the Preservation Toolkit.,Amir Shmuel
Comorbidity network for chronic disease: A novel approach to understand type 2 diabetes progression.,Andrzej Omieljanowicz
Ensemble Learning for Short-Term Traffic Prediction Based on Gradient Boosting Machine.,Anton Schiela
Neural substrates of normal and impaired preattentive sensory discrimination in large cohorts of nonpsychiatric subjects and schizophrenia patients as indexed by MMN and P3a change detection responses.,Osama Rashed Sayed
Blow-up in the Parabolic Problems under Nonlinear Boundary Conditions.,E. Lerzan Örmeci
Explanation and description in computational neuroscience.,Chih-Yuan Yao
Tumor Grade and Overall Survival Prediction of Gliomas Using Radiomics.,Arun Mittal
Efficient classification of ventricular arrhythmias using feature selection and C4.5 classifier.,Moulay A. Barkatou
An unusual chaotic system and its control.,Daniel Troy
Automatic Road Detection and Centerline Extraction via Cascaded End-to-End Convolutional Neural Network.,Chi-Wang Shu
Phone-level pronunciation scoring and assessment for interactive language learning.,Moulay A. Barkatou
"Computer self-efficacy in the information society: Design of learning strategies, mechanisms and skill areas.",Chia-Lung Yeh
A comparative study between syringe-based and screw-based 3D food printers by computational simulation.,Dan Suciu
Stoichiometric capacitance reveals the theoretical capabilities of metabolic networks.,Moulay A. Barkatou
The Hierarchy of Distributional Chaos.,E. Lerzan Örmeci
"Life, IoT, and the Pursuit of Happiness.",Andrzej Omieljanowicz
Query by Video Clip.,K. R. Ramakrishnan
Satellite-Derived Variation in Burned Area in China from 2001 to 2018 and Its Response to Climatic Factors.,Andrew J. Hinchley
PID Controller Synthesis Using a σ-Hurwitz Stability Criterion.,Jan Camenisch
MODEM: multi-omics data envelopment and mining in maize.,Chaojiang Wu
E-Commerce Growth and the Changing Structure of the Retail Sales Industry.,David Alan Grier
Enterprise Network Security - A New Approach.,Dan Suciu
An efficient image aesthetic analysis system using Hadoop.,Hidehisa Yoshida
A fast graphics printing program for neurophysiological data.,Fabio Nobile
A multimodal fusion approach for image captioning.,Andrew J. Hinchley
Contactless palmprint verification system using 2-D gabor filter and principal component analysis.,E. A. Mary Anita
Comments on a cryptographic key assignment scheme.,Robert Finger
3D flow field estimation and assessment for live cell fluorescence microscopy.,Daniela Guaiana
Real-time multimedia broadcasting via direct-detection fiber-optic synchronous CDMA networks.,Louise A. Mawn
Quantification of Sub-Pixel Dynamics in High-Speed Neutron Imaging.,Cynthia Jane Solomon
A Cognitive Reformation.,Jan Camenisch
Open and Dense Topological Transitivity of Extensions by Non-Compact Fiber of Hyperbolic Systems: A Review.,Alper Korkmaz
A deployment methodology of real-time industrial control applications in distributed controllers.,Haowei Xu
Sec-D2D: A Secure and Lightweight D2D Communication System With Multiple Sensors.,Adriano Meta
Advancing Qualitative IS Research Methodologies: Expanding Horizons and Seeking New Paths.,Daniela Guaiana
Content placement in 5G-enabled edge/core data center networks resilient to link cut attacks.,Osama Rashed Sayed
Making Customer Service a Priority.,Karl-Heinz Best
A real-time cloth draping simulation algorithm using conjugate harmonic functions.,Erik Meineche Schmidt
Targeted estimation of heterogeneous treatment effect in observational survival analysis.,Vera Tilson
Workshop der Nachwuchswissenschaftler/innen.,Arthur J. Davidson
MAP Symbol decoding in channels with error bursts.,Amir Shmuel
Propagation of Measurement Errors Through Body Composition Equations for Body Impedance Analysis.,Moulay A. Barkatou
Minimax Probability TSK Fuzzy System Classifier: A More Transparent and Highly Interpretable Classification Model.,Keecheon Kim
Reduction of sample sizes in network sampling models.,Fabio Nobile
Face feature extraction and recognition via local binary pattern and two-dimensional locality preserving projection.,Ming Zhang
Prioritized Deployment of Dynamic Service Function Chains.,Dok Nam Lee
Using a Parallel Helical Sensing Cable for the Distributed Measurement of Ground Deformation.,C. G. Parthipan
Analyzing the relationship between text features and grants productivity.,Gabriel M. Silberman
"8-Gb/s source-synchronous I/O link with adaptive receiver equalization, offset cancellation, and clock de-skew.",Arturo Molina 0001
EcoCyc: fusing model organism databases with systems biology.,Keecheon Kim
Towards multidimensional subspace skyline analysis.,John T. Fredricksen
Dedication.,Christopher I. Amos
Simultaneous Border Segmentation of Doughnut-Shaped Objects in Medical Images.,David Alan Grier
An outcome of expert-oriented digitalization of university processes.,N. C. Simpson
Vehicle Speed Prediction Using a Markov Chain With Speed Constraints.,Hen-Wai Tsao
Relativistic Effects in Bistatic Synthetic Aperture Radar.,Amir Bozorgzadeh
On the (Q-)index of 2-domination critical graphs.,Ming Zhang
A new class of stochastic EM algorithms. Escaping local maxima and handling intractable sampling.,Naohisa Komatsu
A construction of vertex-transitive non-Cayley graphs.,Aida Pliuskeviciene
On turbo encodedBicm.,K. R. Ramakrishnan
SAR Image Denoising via Sparse Representation in Shearlet Domain Based on Continuous Cycle Spinning.,Erik Meineche Schmidt
Hybrid Blockchain Database Systems: Design and Performance.,Gabriel M. Silberman
The Establishment of Green Industry Evaluation Index System Based on Dynamic Clustering - an Empirical Study from Dalian in China.,Christopher I. Amos
The halo algorithm-an algorithm for hierarchical design of rule checking of VLSI circuits.,Huiqin Xie
Crop rotation scheduling with adjacency constraints.,David Perry
What's happening.,Christopher I. Amos
Long Time versus Steady State Optimal Control.,K. R. Ramakrishnan
"Microwave effect: analyzing citations from classic theories and their reinventions - a case study from a classic paper in aquatic ecology - Brooks & Dodson, 1965.",Amir Shmuel
OWA filters and forecasting models applied to electric power load time series.,Dok Nam Lee
Mapping rectangular mesh algorithms onto asymptotically space-optimal arrays.,Daniel Troy
Parallel Simulated Annealing.,Luca Schenato 0001
Derivation of dynamic electric and magnetic response properties based on the quasienergy derivative method.,Huiqin Xie
A Novel Fuzzy Modeling Structure-Decomposed Fuzzy System.,Kwok-Kai Soo
Multiscale Modeling of Skeletal Muscle Active Contraction in Relation to Mechanochemical Coupling of Molecular Motors.,Roy Edgar Hansen
A Factorial Design To Optimize Cell-Based Drug Discovery Analysis.,Fabio Nobile
"Evolution and Evaluation of Safety Offered by Active Safety, ADAS, and AD Systems.",Chi-Sang Jung
Methods for Comprehensive Analysis of Heat Supply Reliability.,Arturo Molina 0001
Automatic seizure detection using a highly adaptive directional time-frequency distribution.,Amaro de Sousa
HyperNet: A conditional k-anonymous and censorship resistant decentralized hypermedia architecture.,Hen-Wai Tsao
Designing in virtual reality: a comparison of problem-solving styles between desktop and VR environments.,Fabio Nobile
Real-Time Power Electronics Laboratory to Strengthen Distance Learning Engineering Education on Smart Grids and Microgrids.,Arturo Molina 0001
Library and Information Science research areas: A content analysis of articles from the top 10 journals 2007-8.,Cynthia Jane Solomon
Ensemble convolutional neural networks for pose estimation.,Chi-Wang Shu
Robust load planning of trains in intermodal transportation.,Jan Camenisch
Feature Investigation of a Segmented Pole Quasi- Halbach Tubular-Linear Synchronous Machine.,S. Twomey
Implementation and performance analysis of various VM placement strategies in CloudSim.,Dok Nam Lee
Knowledge Management Capability in Nursing care Performance in Selected Teaching Hospitals in Southwest Nigeria.,Haowei Xu
Blockchain Standard: Can We Reach Consensus?,Luca Schenato 0001
Lossy Compression of Communication Traces Using Recurrent Neural Networks.,M. I. Cohen
Reliability Allocation Problem in Series-Parallel Systems: Ant Colony Optimization.,Dan Suciu
Collaborative adhocracies and mix-and-match technologies in emergency management.,Andrzej Omieljanowicz
Communication Theory Joint data detection and estimation of time-varying multipath rayleigh fading channels in asynchronous DS-CDMA systems with long spreading sequences.,Chaojiang Wu
Visible light communication using TDMA optical beamforming.,Ahmed M. Mohamed
NB-IoT Random Access for Nonterrestrial Networks: Preamble Detection and Uplink Synchronization.,Aida Pliuskeviciene
Modelling Segmented Cardiotocography Time-Series Signals Using One-Dimensional Convolutional Neural Networks for the Early Detection of Abnormal Birth Outcomes.,Abbas Heydari
"Quantifying Spike Train Oscillations: Biases, Distortions and Solutions.",Jan Camenisch
Hamiltonian Systems: Chaos and Quantization (Alfredo M. Ozorio de Almeida). Chaos and Integrability in Nonlinear Dynamics: An Introduction (Michael Tabor) An Introduction to Chaotic Dynamical Systems (Robert L. Devaney).,Hermano Frid
Post-anthropocentric creativity.,Roy Edgar Hansen
"Metaverse: Perspectives from graphics, interactions and visualization.",Renbiao Wu
Resource management in network dynamics: An optimal approach to the admission control problem.,Astrid Tannert
Compressible flows: New existence results and justification of the Reynolds asymptotic in thin films.,Kanad Chakraborty
A VLSI architecture for dynamic scene analysis.,Theodosios Pavlidis
Optical Path Cross-Connect System Scale Evaluation Using Path Accommodation Design for Restricted Wavelength Multiplexing .,Norman F. Schneidewind
Correction to: Mapping audiovisual content providers and resources in Greece.,C. G. Parthipan
Predictive control for sector bounded nonlinear model and its application to solid oxide fuel cell systems.,Daniela Guaiana
Effects of vocabulary training by computer in kindergarten.,Akira Suzuki
Solving a multiple-qualifications physician scheduling problem with multiple types of tasks by dynamic programming and variable neighborhood search.,Daniel Cullina
Effective Resistance Preserving Directed Graph Symmetrization.,John T. Fredricksen
A simple model of retina-LGN transmission.,S. Twomey
Business pluralism of electronic prescriptions: state of development in Europe and the USA.,Ahmed M. Mohamed
On Adaptive Influence Maximization Under General Feedback Models.,Cynthia Jane Solomon
Integration of Sentinel-1 and Sentinel-2 Data for Land Cover Mapping Using W-Net.,Dan Suciu
Beyond Document Similarity: Understanding Value-Based Search and Browsing Technologies.,Abbas Heydari
A multi-stage spatio-temporal adaptive network for video super-resolution.,Kanad Chakraborty
The strong connectivity of bubble-sort star graphs.,Astrid Tannert
Decoding clinical biomarker space of COVID-19: Exploring matrix factorization-based feature selection methods.,Le Deng
Introduction.,K. R. Ramakrishnan
Mixing network coding and cooperation for reliable wireless communications.,Naohisa Komatsu
Stochastic Models with Multistability and Extinction Levels.,Arthur J. Davidson
Distributed Acoustic Sensing for Monitoring Linear Infrastructures: Current Status and Trends.,Amir Bozorgzadeh
Offline-Enhanced Reduced Basis Method Through Adaptive Construction of the Surrogate Training Set.,Chaojiang Wu
Second-order statistics of system with ,Hidehisa Yoshida
Using the Xeon Phi Platform to Run Speculatively-Parallelized Codes.,David Dagan Feng
"The failure of the ""localisationist project"" in mental medicine in nineteenth century France and the emergence of the neurological clinic.",Di Li 0003
Large scale content distribution protocols.,Christopher I. Amos
DeepTrain: A Programmable Embedded Platform for Training Deep Neural Networks.,Laurent Chupin
Next2You: Robust Copresence Detection Based on Channel State Information.,Theodosios Pavlidis
On numbers of vertices of maximum degree in the spanning trees of a graph.,Robert Finger
Special issue: Intelligent user interfaces.,Oliver Marschollek
Movement Pattern Recognition of Medaka for an Insecticide: A Comparison of Decision Tree and Neural Network.,Astrid Tannert
A Framework for GNSS Spoofing Detection Through Combinations of Metrics.,Norman F. Schneidewind
Belief function of Pythagorean fuzzy rough approximation space and its applications.,Diogo Poças
"Corrigendum to: ""Hamiltonicity of the Normal Product of Hypergraphs"" in: J. Inform. Process. Cybernet. EIK26(1990) 7, 415-433.",Kwok-Kai Soo
AGGLO-Hi clustering algorithm for gene expression micro array data using proximity measures.,Amir Shmuel
Service-Oriented Architecture on FPGA-Based MPSoC.,Arun Mittal
Design and Implementation of Smart Multi-Touch Interface Using Special Purpose CORDIC Processor.,Kanad Chakraborty
Low-Cost Passive Beamforming for RIS-Aided Wideband OFDM Systems.,Christopher I. Amos
Dissociation of Working Memory Processing Associated with Native and Second Languages: PET Investigation.,Erik Meineche Schmidt
Characteristic vector and weight distribution of a linear code.,Dan Suciu
Application of hybrid fast marching method to determine the real-time path for the biped robot.,Chih-Yuan Yao
"Statistical genetics & statistical genomics: Where biology, epistemology, statistics, and computation collide.",Robert Finger
Learning stacking regression for no-reference super-resolution image quality assessment.,Amaro de Sousa
A Rigorously Bayesian Beam Model and an Adaptive Full Scan Model for Range Finders in Dynamic Environments.,Amir Shmuel
Development of open platform humanoid robot DARwIn-OP.,Daniela Guaiana
Evidential weights of multiple preferences for competitiveness.,Karl-Heinz Best
Optimizing Spatial Mapping of Nested Loop for Coarse-Grained Reconfigurable Architectures.,Karl-Heinz Best
A Cable-Driven Exosuit for Upper Limb Flexion Based on Fibres Compliance.,Ahmed M. Mohamed
On Submesh Allocation for Mesh Multicomputers: A Best-Fit Allocation and a Virtual Submesh Allocation for Faulty Meshes.,Hermano Frid
Is There a Fourth Law for Non-Ergodic Systems That Do Work to Construct Their Expanding Phase Space?,Gabriel M. Silberman
